Album Name,Song Name
"Luxor, The Sphinx Avenue Concert (Live)",Helwa Baladna - Live
"Luxor, The Sphinx Avenue Concert (Live)",Ahla Belad - Live
"Luxor, The Sphinx Avenue Concert (Live)","Luxor, The Sphinx Avenue Operette - Live"
Ya Fatenny,Ya Fatenny
Ya Fatenny,Mataawednash
Ya Fatenny,Benfarea
Ya Fatenny,Law Hatsib
Ya Fatenny,Mesh Aader Ansa
Ya Fatenny,Ya Naseem
Ya Fatenny,Ard Mostamer
Ya Fatenny,Zayaha Meen
Ya Fatenny,Tak
Ya Fatenny,Ayzak Tesmaany
Ya Fatenny,Rodoudoh Ghariba
Ya Fatenny,Talea Mooda
Ya Fatenny,Zalamouny
Ya Fatenny,Wala Leila Men Layalik
Ya Fatenny,Nadana (Bonus Track)
Ya Fatenny,La Malama (Bonus Track)
Ya Fatenny,Wadina Baeid (Bonus Track)
Kol Yom Men Dah,Yzalzel
Kol Yom Men Dah,Kol Yom Men Dah
Kol Yom Men Dah,Layla
Kol Yom Men Dah,Oyoni Sahrana
Kol Yom Men Dah,Sowar
Kol Yom Men Dah,Wamel Eih
Kol Yom Men Dah,Baeit Maah
Kol Yom Men Dah,Ya Ghorba
Kol Yom Men Dah,Mel Bedaya
Kol Yom Men Dah,Ya Sattar
Kol Yom Men Dah,Oddam El Nas
Kol Yom Men Dah,Kefaya Holoul Wasat
Kol Yom Men Dah,Radeeny
Kol Yom Men Dah,Rasmek Fe Khayali
Kol Yom Men Dah,La Etab Wala Heira
Kol Yom Men Dah,El Hekaya Hekayetna
Kol Yom Men Dah,Aash Min Shafak
Kol Yom Men Dah,Khallina Zay Mahna
Kol Yom Men Dah,Aalo Annek
Kol Yom Men Dah,Khodni Eleik
Omroh Ma Yeghib,Agmal Youm
Omroh Ma Yeghib,Mabalash
Omroh Ma Yeghib,Mayni
Omroh Ma Yeghib,Kanet Henak
Omroh Ma Yeghib,Neseet
Omroh Ma Yeghib,Saber Ala Hali
Omroh Ma Yeghib,Nesmet Shoa'
Omroh Ma Yeghib,Yalli Zaa'lan
Omroh Ma Yeghib,Ana Serraha
Omroh Ma Yeghib,El Ghali Naseeni
Omroh Ma Yeghib,Kan W Kan
Omroh Ma Yeghib,Omro Maygheeb
Omroh Ma Yeghib,Be'dna Laih
Omroh Ma Yeghib,Enta Habibi
Omroh Ma Yeghib,Eli Ekhtaro Albi
Mn Alby Baghani,Nefsi Aba'a Ganbo
Mn Alby Baghani,Da Lolak
Mn Alby Baghani,Hay'olo
Mn Alby Baghani,Haga Mestakhabeya
Mn Alby Baghani,Ahla El Nas
Mn Alby Baghani,Mn De'ty
Mn Alby Baghani,A'arafo
Mn Alby Baghani,Wadi Haly Ma'ak
Mn Alby Baghani,Gara Eh
Mn Alby Baghani,Enta Bete'ned Ma'aya
Mn Alby Baghani,Nadman
Mn Alby Baghani,Mn Alby Baghany
Mn Alby Baghani,Adi Elli Fi Balli
حاجة مش طبيعية,قول واتكلم
حاجة مش طبيعية,حاجة مش طبيعية
حاجة مش طبيعية,بتدارى
حاجة مش طبيعية,دنيتى اتغيرت
حاجة مش طبيعية,فى حضن عينيك
حاجة مش طبيعية,كان مالى
حاجة مش طبيعية,لسه بتخاف
حاجة مش طبيعية,لو دعيالى
حاجة مش طبيعية,متعقد
حاجة مش طبيعية,مش سهل
ناويها,قالو فيكى
ناويها,حبيبى لو زعلان
ناويها,اكتر من الدنيا
ناويها,انا لو اذيته
ناويها,جت يا مجتش
ناويها,هانت
ناويها,مش معقول
ناويها,ناويها
ناويها,و افتكرت
ناويها,هنا جنبى
خلص الكلام,حالا دلوقتى
خلص الكلام,احلى حاجة فيكى
خلص الكلام,بقت عادة
خلص الكلام,خلص الكلام
خلص الكلام,كنت تتكلم
خلص الكلام,ليه يا حبيبى
خلص الكلام,رسالة
خلص الكلام,طمنونى عينيك
خلص الكلام,وقت قريب
خلص الكلام,واحدة واحدة
خلص الكلام,يا ريت
خلينا نعيش,ادينى بدوب
خلينا نعيش,ان الاوان
خلينا نعيش,اوعد قلبى
خلينا نعيش,اول ليله
خلينا نعيش,بتبعد ليه
خلينا نعيش,بتضحك
خلينا نعيش,خلينا نعيش
خلينا نعيش,ليه لا
خلينا نعيش,ياللى غايب
خلينا نعيش,مقدرش انساك
Alby Habak Gedan,Alby Habak Gedan
Adrenaline,Adrenaline
Agaby,Agaby
Leilet El Omr,Leilet El Omr
Yalli Aalem Bina,Yalli Aalem Bina
Dah Wa2toh,Dah Wa2toh
Hayatak Fi Sora,Hayatak Fi Sora
Howa Da Habiby,Howa Da Habiby
Alemny,Alemny
Anta Alazeem,Anta Alazeem
Ya Rahman,Ya Rahman
